"text","answer"
1,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a"
2,"c, c, c, c, c, c, c, c"
3,"c, c, c, c, c, c, c, c"
4,"c, c, c, c, c, c, c, c, c, c, c, c, c, c"
5,"c, c, c, c, c, c, c, c, c, c, a, c, a"
6,"c, c, c, c, c"
7,"c, c, c, c, c"
8,"c, c, c, c, c, c, c"
9,"c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, a, c, c, a, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
10,"c"
11,"c, c, c, c, c, c, c, c, c, c, c, c, c, c"
12,"c, c, c, c, c, c, c"
13,"[c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c]"
14,"c, c, c, c, c, c, c"
15,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, c, c, c, c, c"
16,"c, c, c, c, c, c, c"
17,"c, c, c, c, a, a, a, a, c, a, c, c, a, c, a, c, c, a, c, a, [c], [c], [c], [a]"
18,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
19,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, [c], [c], [c]"
20,"c, c, c, c, c, c, c, c, c, c, c"
21,"c, c, c"
22,"c"
23,"c, a, c, c, c, c, c, c, c, c, c, a, a, a, a, a, a, a, a, a, c, c, c, c, c, c, c, c, c, c"
24,"c"
25,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, c, a, a, a, a, a, c, c, a, a, a, a, a, a, a, a, c, c, c"
26,"c, c, c, c, c, c, c, c, c, c, a, a, b, c, c, a, c, a, b, a, [c], [c], [a], [c], [a]"
27,"c, c, c, c, a, c, a, a, a, c, a, a, a, a, a"
28,"c"
29,"c"
30,"c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, c, c, c, c, c, c, c, a, a, c, c, c, c, a, c, c, c, c, c, a, c, c, a, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, a, a, c, a, a, a, c, a, a, a, c, c, c, c, c, a, c, c, c, c, c, c, a, c, a, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, a, a, a"
31,"c, c"
32,"c, c, c, c, c, c, c, a, a, a, c, c, c, c, c, c, c, c, c, c, b, a, a, a, a, c, c, b, a, a, a, a, a"
33,"c, c, c, c, a, c, c, c, a, a, a, a, a, c, a, a, a, a, a, a, c, c, a, c, c, a, c, c, a, c, c, c, a, c, a, a, c, c, a, c, c, c, c, a, a, a, a, a, c, a, a, c, c, c, c, c, c, c, c, c, c, c, c, a, a, c, a, c"
34,"c, c, c, c, c, c, a, a, c"
35,"c, c, c, a, c, c, a, a, a, a, a, a, c, a, a, c, c, c, c, c, Please, provide, the, sentences, you, would, like, me, to, classify."
36,"c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, a, a, a, a, c"
37,"c, c, c, a, c, c, a, a, a, a, a, a, c, a, a, c, c, c, c, c, Please, provide, the, sentences, you, would, like, me, to, classify."
38,"c, a, c, c, c, c, c, c, c, c, a, c, c, c, a, c, c, c, c, c, c, c, c, c, c"
39,"[c], [c], [c], [c], [a], [c], [a], [c], [a], [a], [a], [c], [a], [c], [c], [c], [c], [a], [a], [c], c, a, a, c, c, c, c, a, a, a, a, a, a, c, c, a, a, a, a, a, c, a, a, a, c, a, c, c, c, c, c"
40,"c"
41,"c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, a"
42,"c"
