"text","answer"
1,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
2,"c, c, c, c, c, c, c, c"
3,"c, c, c, c, c, c, c, c"
4,"c, c, c, c, c, c, c, c, c, c, c, c, c, c"
5,"c, c, c, c, c, c, c, c, c, c, a, c, a"
6,"c, c, c, c, c"
7,"c, c, c, c, c"
8,"c, c, c, c, c, c, c"
9,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c"
10,"c"
11,"c, c, c, c, c, c, c, c, c, c, c, c, c, c"
12,"c, c, c, a, a, c, a"
13,"[c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c]"
14,"c, c, c, c, c, c, c"
15,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c]"
16,"c, c, c, c, c, c, c"
17,"c, c, b, c, a, a, a, a, c, a, c, c, c, c, a, c, c, a, a, a, [c], [c], [a], [a]"
18,"c, c, c, c, c, a, c, c, c, c, c, c, a, c, c, c, a, a, c, a, a, c, a, a, c, a, c, c, c, c, c, c, c, c, c, c, c, c"
19,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
20,"c, c, c, c, c, c, c, c, c, c, c"
21,"c, a, a"
22,"c"
23,"c, a, a, a, a, a, c, c, a, a, a, a, a, a, a, a, a, a, a, a, c, a, c, c, a, a, c, c, a, c"
24,"c"
25,"a, a, a, c, a, a, a, c, a, c, c, a, a, a, a, a, a, c, a, a, [c], [c], [c], [c], [c], [a], [a], [a], [a], [a], [b], [a], [a], [c], [c], [c], [c], [a], [a], [c], [a], [a], [a], [c], [c], [a], [a], [c], [a], [c], [a], [c], [b], [a], [a], [a], [a], [a], [a], [a], a, a, a, a, a, a, a, a, c, c, a, a, a, a, a, a, a, a, c, a, a"
26,"a, a, a, a, a, a, a, a, a, a, a, a, b, c, c, a, c, a, b, a, c, a, c, a, a"
27,"a, a, c, a, a, c, a, a, a, a, a, a, a, a, a"
28,"c"
29,"c"
30,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, c, c, c, c, a, c, c, a, c, c, a, c, a, a, a, a, a, a, a, c, c, c, c, c, a, c, c, a, c, c, c, c, c, c, a, a, a, a, c, a, a, a, a, a, a, a, a, a, a, c, c, a, a, a, a, a, a, a, a, a, a, a, a, a, a, c, c, c, c, a, a, a, c, c, c, a, [c], [c], [c], [c], [a], [a], [c], [c], [c], [a], [a], [a], [c], [a], [a]"
31,"a, a"
32,"a, a, a, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, a, b, a, a, a, a, a"
33,"[c], [a], [c], [c], [a], [a], [c], [c], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], a, a, a, a, a, a, a, c, a, a, c, a, a, c, a, a, c, a, a, c, a, c, c, a, a, a, a, a, c, a, a, a, a, a, a, a, a, a, a, a, [c], [a], [a], [c], [a], [a], [a], [a]"
34,"a, a, a, a, a, a, a, a, a"
35,"a, a, a, a, a, a, a, a, a, a, a, a, c, c, a, c, c, c, c, c, Please, provide, the, sentences, you, would, like, me, to, classify, according, to, the, given, instructions."
36,"c, c, a, c, c, a, a, a, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, a, a, a, c, c, c, c, c, c, a, a, c, c, c, c, c, a, a, a, a, a, a, a, c"
37,"a, a, a, a, a, a, a, a, a, a, a, a, c, c, a, c, c, c, c, c, Please, provide, the, sentences, you, would, like, me, to, classify."
38,"a, a, c, a, c, c, c, c, c, a, a, a, c, c, a, a, c, c, a, a, c, a, c, c, a"
39,"[c], [a], [a], [c], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [c], c, a, a, c, b, b, c, a, a, a, a, a, a, a, b, a, a, a, a, a, a, c, a, a, a, a, c, a, c, c, c"
40,"c"
41,"a, a, a, a, a, c, c, a, c, a, a, c, c, c, a, c, c, c, a, c, c, a, c, a"
42,"c"
